"Sexe"	"Commune de travail"	"1996 T4"	"1997 T4"	"1998 T4"	"1999 T4"	"2000 T4"	"2001 T4"	"2002 T4"	"2003 T4"	"2004 T4"	"2005 T4"	"2006 T4"	"2007 T4"	"2008 T4"	"2009 T4"	"2010 T4"	"2011 T4"	"2012 T4"	"2013 T4"	"2014 T4"
"Sexe - Total"	"- Zürich"	2974.9	2948.0	2991.1	3056.9	3359.5	3818.4	3931.4	3882.2	3954.4	4208.5	4630.1	5247.2	5655.7	6132.6	6666.0	7549.2	8219.5	8908.8	9368.7
"Sexe - Total"	"……Aeugst am Albis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Affoltern am Albis"	0.0	0.0	0.0	0.0	0.0	0.9	2.8	2.8	1.8	1.7	1.7	2.6	1.7	4.3	5.0	7.6	11.0	16.9	15.8
"Sexe - Total"	"……Bonstetten"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.8	0.8	1.7	1.7	1.7
"Sexe - Total"	"……Hausen am Albis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8
"Sexe - Total"	"……Hedingen"	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.9	0.0	0.0	0.0	6.0	14.5	16.2	14.3	18.7	21.2	24.5	29.1
"Sexe - Total"	"……Kappel am Albis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Knonau"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.8	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Maschwanden"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.8	0.8	0.8	0.0	0.0
"Sexe - Total"	"……Mettmenstetten"	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.9	0.9	2.6	2.5	2.5	1.7	1.7	1.7
"Sexe - Total"	"……Obfelden"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.9	0.8	0.8	1.7	1.7	0.8
"Sexe - Total"	"……Ottenbach"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.8	0.8	0.8	0.8	0.8
"Sexe - Total"	"……Rifferswil"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Stallikon"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	1.7	0.9	0.8	1.7	0.8	1.7	1.7
"Sexe - Total"	"……Wettswil am Albis"	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.9	0.0	0.9	0.9	3.4	3.4	4.2	5.9	5.9	5.8
"Sexe - Total"	"……Adlikon"	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	2.5	1.7
"Sexe - Total"	"……Benken (ZH)"	0.0	0.0	0.0	0.0	0.0	1.9	1.9	1.9	1.8	1.7	0.9	0.9	0.9	0.9	0.8	1.7	1.7	1.7	0.8
"Sexe - Total"	"……Berg am Irchel"	0.9	0.9	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Buch am Irchel"	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8
"Sexe - Total"	"……Dachsen"	18.0	18.0	16.1	22.7	22.7	25.5	20.7	19.8	20.8	18.7	18.0	21.5	18.8	17.9	18.4	20.4	18.7	16.9	20.8
"Sexe - Total"	"……Dorf"	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.9	1.7	0.8	1.7	1.7	1.7	1.7
"Sexe - Total"	"……Feuerthalen"	31.3	32.2	37.8	40.6	39.7	46.2	48.1	38.6	38.0	40.0	48.0	51.6	55.5	47.8	46.1	40.7	41.6	43.2	49.0
"Sexe - Total"	"……Flaach"	10.4	6.6	8.5	4.7	6.6	8.5	12.3	12.2	11.8	10.2	11.1	13.8	15.4	17.9	16.8	14.4	11.9	17.8	17.4
"Sexe - Total"	"……Flurlingen"	7.6	5.7	4.7	4.7	4.7	3.8	10.4	11.3	10.8	11.1	13.7	20.6	22.2	25.6	26.0	28.8	28.9	24.5	28.2
"Sexe - Total"	"……Andelfingen"	17.0	17.0	15.1	16.1	19.8	25.5	26.4	24.5	25.3	24.7	27.4	26.7	27.3	29.9	25.2	28.8	28.0	27.1	32.4
"Sexe - Total"	"……Henggart"	3.8	2.8	2.8	2.8	2.8	4.7	6.6	2.8	3.6	3.4	3.4	4.3	6.8	3.4	4.2	3.4	4.2	3.4	4.2
"Sexe - Total"	"……Humlikon"	0.0	0.0	0.0	0.0	0.0	1.9	0.9	0.9	0.9	0.9	1.7	3.4	1.7	1.7	0.8	0.8	0.8	0.8	0.8
"Sexe - Total"	"……Kleinandelfingen"	11.4	11.4	8.5	4.7	6.6	6.6	8.5	7.5	6.3	11.1	12.9	12.9	14.5	11.1	11.7	15.3	18.7	16.9	16.6
"Sexe - Total"	"……Laufen-Uhwiesen"	4.7	4.7	3.8	0.9	2.8	3.8	6.6	7.5	8.1	7.7	10.3	9.5	9.4	9.4	10.1	13.6	17.0	17.8	19.1
"Sexe - Total"	"……Marthalen"	28.4	26.5	26.5	23.6	25.5	27.4	24.5	22.6	16.3	14.5	13.7	15.5	15.4	18.8	21.0	33.9	36.5	42.3	43.2
"Sexe - Total"	"……Oberstammheim"	3.8	2.8	0.9	0.9	1.9	1.9	1.9	0.9	1.8	1.7	1.7	1.7	1.7	2.6	1.7	2.5	3.4	4.2	2.5
"Sexe - Total"	"……Ossingen"	5.7	4.7	4.7	4.7	3.8	3.8	3.8	4.7	3.6	2.6	2.6	3.4	5.1	8.5	9.2	9.3	9.3	10.2	10.0
"Sexe - Total"	"……Rheinau"	125.0	127.8	131.4	138.0	148.2	149.1	142.4	129.1	118.4	123.3	117.5	98.9	96.6	91.3	88.0	104.3	119.8	93.1	92.2
"Sexe - Total"	"……Thalheim an der Thur"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8
"Sexe - Total"	"……Trüllikon"	2.8	1.9	0.9	0.9	1.9	2.8	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.0	1.7	1.7	1.7	1.7
"Sexe - Total"	"……Truttikon"	1.9	0.0	0.0	0.9	1.9	1.9	1.9	0.9	0.9	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Unterstammheim"	0.9	0.9	0.9	0.9	0.9	0.9	4.7	4.7	3.6	4.3	4.3	2.6	0.9	0.9	1.7	2.5	1.7	0.8	1.7
"Sexe - Total"	"……Volken"	0.0	0.0	0.0	0.9	0.9	0.9	0.9	1.9	1.8	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	2.5	1.7
"Sexe - Total"	"……Waltalingen"	3.8	2.8	1.9	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	1.7	1.7	3.4	3.4	3.4	4.2	5.0
"Sexe - Total"	"……Bachenbülach"	20.8	19.9	22.7	18.0	18.9	24.5	25.5	23.6	26.2	28.9	32.6	30.1	44.4	46.1	43.6	46.7	45.9	44.9	48.2
"Sexe - Total"	"……Bassersdorf"	11.4	9.5	10.4	10.4	10.4	16.0	31.1	30.1	27.1	26.4	25.7	29.2	33.3	32.4	34.4	44.1	36.5	40.6	41.5
"Sexe - Total"	"……Bülach"	136.4	129.7	130.5	120.0	137.9	159.5	153.7	163.0	149.2	162.5	174.9	190.1	180.3	186.9	202.9	202.7	226.9	249.7	266.6
"Sexe - Total"	"……Dietlikon"	18.9	23.7	25.5	29.3	24.5	26.4	25.5	27.3	28.9	32.3	37.7	47.3	43.6	55.5	59.5	65.3	129.2	129.5	132.1
"Sexe - Total"	"……Eglisau"	94.7	89.0	83.2	76.5	78.4	74.5	76.4	66.9	59.7	59.5	62.6	71.4	66.7	70.8	75.5	74.7	79.9	83.0	76.4
"Sexe - Total"	"……Embrach"	58.7	44.5	46.3	47.2	53.8	61.3	67.9	67.8	71.4	97.8	111.5	127.3	94.9	110.1	102.3	116.2	101.1	94.8	91.4
"Sexe - Total"	"……Freienstein-Teufen"	8.5	7.6	6.6	3.8	4.7	8.5	6.6	5.7	8.1	6.8	9.4	7.7	10.3	12.8	10.1	5.9	6.8	7.6	6.6
"Sexe - Total"	"……Glattfelden"	11.4	9.5	10.4	10.4	8.5	10.4	14.1	13.2	11.8	11.1	14.6	17.2	17.1	18.8	21.0	18.7	16.1	23.7	24.9
"Sexe - Total"	"……Hochfelden"	2.8	2.8	4.7	4.7	4.7	3.8	2.8	4.7	7.2	6.0	8.6	8.6	8.5	4.3	4.2	5.1	2.5	4.2	4.2
"Sexe - Total"	"……Höri"	34.1	32.2	33.1	33.1	34.0	28.3	30.2	28.3	28.0	23.0	27.4	27.5	29.9	32.4	35.2	39.0	41.6	42.3	34.9
"Sexe - Total"	"……Hüntwangen"	7.6	4.7	4.7	5.7	5.7	4.7	3.8	3.8	6.3	5.1	6.9	8.6	6.0	8.5	8.4	25.4	24.6	26.2	25.7
"Sexe - Total"	"……Kloten"	187.5	193.1	210.9	244.7	316.3	367.0	340.3	303.3	332.7	361.5	396.1	449.8	486.3	507.0	556.7	642.2	730.0	822.8	816.5
"Sexe - Total"	"……Lufingen"	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.0	0.0	1.7	2.5	2.5	2.5
"Sexe - Total"	"……Nürensdorf"	1.9	1.9	2.8	2.8	4.7	7.5	5.7	4.7	7.2	6.8	6.0	8.6	7.7	6.0	8.4	6.8	3.4	5.9	8.3
"Sexe - Total"	"……Oberembrach"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8	10.8
"Sexe - Total"	"……Opfikon"	70.1	66.2	67.1	58.6	71.8	66.0	68.8	76.3	82.3	80.0	84.0	92.0	127.3	135.7	155.9	188.3	287.2	290.4	289.9
"Sexe - Total"	"……Rafz"	131.6	117.4	105.0	102.1	104.8	119.8	117.8	120.6	102.2	102.9	114.0	107.5	92.3	99.0	101.4	108.6	108.8	99.9	89.7
"Sexe - Total"	"……Rorbas"	7.6	10.4	11.3	8.5	9.4	9.4	3.8	1.9	1.8	3.4	2.6	2.6	3.4	0.9	0.8	0.8	0.8	0.8	1.7
"Sexe - Total"	"……Wallisellen"	36.0	40.7	44.4	42.5	44.4	51.9	76.4	62.2	59.7	76.5	90.9	100.6	113.7	121.2	128.3	135.7	147.0	183.7	237.6
"Sexe - Total"	"……Wasterkingen"	6.6	4.7	3.8	2.8	2.8	2.8	1.9	1.9	1.8	1.7	0.9	2.6	3.4	2.6	2.5	4.2	12.7	13.5	12.5
"Sexe - Total"	"……Wil (ZH)"	40.7	41.6	43.5	41.6	40.6	43.4	38.7	36.7	32.5	31.5	33.4	31.8	36.7	35.0	35.2	35.6	39.1	37.2	38.2
"Sexe - Total"	"……Winkel"	2.8	1.9	1.9	1.9	1.9	1.9	2.8	3.8	3.6	4.3	2.6	3.4	4.3	5.1	5.0	5.9	6.8	5.1	7.5
"Sexe - Total"	"……Bachs"	0.9	0.9	0.9	0.9	0.9	2.8	4.7	4.7	3.6	3.4	4.3	4.3	4.3	4.3	5.0	5.9	5.1	4.2	5.0
"Sexe - Total"	"……Boppelsen"	1.9	1.9	0.9	0.9	1.9	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8
"Sexe - Total"	"……Buchs (ZH)"	10.4	8.5	9.5	10.4	20.8	22.6	24.5	21.7	21.7	23.0	24.9	29.2	27.3	29.0	32.7	33.9	34.8	34.7	36.5
"Sexe - Total"	"……Dällikon"	9.5	10.4	10.4	18.0	19.8	27.4	26.4	28.3	28.9	27.2	27.4	29.2	23.1	23.9	23.5	24.6	27.2	21.2	21.6
"Sexe - Total"	"……Dänikon"	0.9	0.9	0.9	0.9	0.9	0.0	0.0	0.0	1.8	1.7	1.7	2.6	1.7	1.7	1.7	1.7	0.8	1.7	2.5
"Sexe - Total"	"……Dielsdorf"	44.5	46.4	36.9	35.9	35.9	44.3	46.2	36.7	33.5	35.7	32.6	46.4	43.6	48.7	50.3	55.1	64.6	68.6	75.6
"Sexe - Total"	"……Hüttikon"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Neerach"	7.6	5.7	7.6	5.7	9.4	7.5	7.5	7.5	7.2	6.8	6.9	6.9	6.0	5.1	4.2	5.1	5.1	4.2	6.6
"Sexe - Total"	"……Niederglatt"	19.9	17.0	22.7	23.6	27.4	34.0	36.8	39.6	35.3	31.5	39.4	41.3	37.6	42.7	41.9	46.7	45.9	47.4	50.7
"Sexe - Total"	"……Niederhasli"	30.3	28.4	27.4	22.7	18.9	19.8	24.5	19.8	18.1	15.3	15.4	14.6	11.1	13.7	18.4	22.1	22.9	25.4	24.9
"Sexe - Total"	"……Niederweningen"	74.8	74.8	72.8	65.2	74.6	76.4	72.6	64.1	57.0	52.7	51.4	51.6	60.7	58.9	61.2	60.2	62.9	64.3	61.5
"Sexe - Total"	"……Oberglatt"	5.7	8.5	8.5	8.5	10.4	11.3	8.5	4.7	6.3	11.1	15.4	21.5	20.5	19.6	17.6	17.8	17.0	16.9	15.8
"Sexe - Total"	"……Oberweningen"	0.9	0.9	1.9	0.9	1.9	0.9	0.9	2.8	2.7	1.7	0.9	0.9	0.9	0.9	0.8	1.7	2.5	4.2	5.8
"Sexe - Total"	"……Otelfingen"	13.3	12.3	9.5	15.1	17.0	16.0	17.0	15.1	14.5	23.0	29.2	38.7	37.6	31.6	30.2	39.9	57.8	67.7	65.6
"Sexe - Total"	"……Regensberg"	0.0	0.0	0.0	0.0	0.0	1.9	1.9	1.9	1.8	1.7	1.7	0.9	0.9	1.7	1.7	2.5	3.4	4.2	3.3
"Sexe - Total"	"……Regensdorf"	64.4	58.7	53.9	65.2	75.5	91.5	101.8	102.7	120.2	119.1	122.6	125.6	129.9	191.2	234.7	263.8	162.3	158.3	182.7
"Sexe - Total"	"……Rümlang"	36.9	32.2	35.0	31.2	33.0	38.7	38.7	43.3	46.1	52.7	67.7	71.4	76.1	76.0	79.6	82.3	88.4	90.6	87.2
"Sexe - Total"	"……Schleinikon"	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.9	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Schöfflisdorf"	5.7	5.7	2.8	3.8	6.6	7.5	9.4	8.5	8.1	7.7	8.6	9.5	9.4	8.5	8.4	7.6	10.2	9.3	8.3
"Sexe - Total"	"……Stadel"	7.6	8.5	7.6	5.7	5.7	7.5	11.3	7.5	10.8	9.4	8.6	11.2	9.4	11.9	10.9	10.2	11.0	13.5	13.3
"Sexe - Total"	"……Steinmaur"	13.3	13.2	12.3	15.1	16.1	12.3	13.2	13.2	10.8	10.2	12.0	12.0	7.7	7.7	8.4	7.6	7.6	6.8	4.2
"Sexe - Total"	"……Weiach"	39.8	40.7	36.9	39.7	42.5	39.6	40.5	38.6	31.6	30.6	33.4	30.1	26.5	26.5	30.2	28.8	22.1	22.9	23.3
"Sexe - Total"	"……Bäretswil"	0.0	0.0	0.9	0.9	0.9	0.9	0.0	0.0	0.0	0.0	0.9	1.7	2.6	2.6	2.5	0.8	1.7	2.5	4.2
"Sexe - Total"	"……Bubikon"	1.9	2.8	0.0	0.9	2.8	1.9	1.9	1.9	0.9	0.9	0.9	0.9	0.9	0.0	1.7	2.5	6.8	7.6	10.0
"Sexe - Total"	"……Dürnten"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8
"Sexe - Total"	"……Fischenthal"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.8	0.0	0.0
"Sexe - Total"	"……Gossau (ZH)"	0.0	0.0	0.0	0.0	0.0	1.9	0.9	0.9	0.9	0.9	0.9	0.9	1.7	2.6	3.4	2.5	2.5	2.5	2.5
"Sexe - Total"	"……Grüningen"	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.9	0.0	0.0	1.7	1.7	1.7	5.1	5.9	5.8
"Sexe - Total"	"……Hinwil"	2.8	2.8	1.9	1.9	0.9	1.9	0.9	1.9	1.8	2.6	4.3	5.2	6.8	6.0	5.0	7.6	9.3	11.0	10.8
"Sexe - Total"	"……Rüti (ZH)"	4.7	7.6	8.5	7.6	6.6	5.7	4.7	3.8	2.7	2.6	3.4	4.3	7.7	4.3	2.5	3.4	5.1	8.5	10.8
"Sexe - Total"	"……Seegräben"	0.0	0.0	0.9	0.9	0.9	0.0	0.0	0.0	0.0	0.9	0.9	1.7	0.9	0.9	0.8	1.7	1.7	1.7	0.8
"Sexe - Total"	"……Wald (ZH)"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	12.6	16.1	16.1	16.1	20.8
"Sexe - Total"	"……Wetzikon (ZH)"	1.9	0.9	0.9	2.8	5.7	7.5	7.5	5.7	7.2	10.2	14.6	18.9	17.9	16.2	15.9	26.3	27.2	27.1	36.5
"Sexe - Total"	"……Adliswil"	0.9	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6	6.0	9.4	14.3	19.5	20.4	61.8	65.6
"Sexe - Total"	"……Hirzel"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.8
"Sexe - Total"	"……Horgen"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	1.8	1.7	1.7	2.6	3.4	10.2	13.4	17.8	22.1	26.2	32.4
"Sexe - Total"	"……Hütten"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Kilchberg (ZH)"	0.0	0.0	0.0	0.9	0.0	0.0	4.7	0.0	0.0	0.0	0.9	5.2	6.0	6.8	7.5	7.6	8.5	5.9	9.1
"Sexe - Total"	"……Langnau am Albis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	1.7	3.3
"Sexe - Total"	"……Oberrieden"	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	1.7	3.4	5.9	5.0
"Sexe - Total"	"……Richterswil"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.8	1.7	11.0	13.5	18.3
"Sexe - Total"	"……Rüschlikon"	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.9	1.7	1.7	3.4	3.4	1.7	2.5	6.8	6.6
"Sexe - Total"	"……Schönenberg (ZH)"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	1.7	1.7	1.7	1.7
"Sexe - Total"	"……Thalwil"	0.0	0.9	0.9	1.9	0.9	0.0	0.9	0.9	0.9	0.9	1.7	4.3	8.5	12.8	14.3	14.4	14.4	18.6	17.4
"Sexe - Total"	"……Wädenswil"	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.9	2.6	5.1	7.7	7.5	11.9	11.9	14.4	12.5
"Sexe - Total"	"……Erlenbach (ZH)"	0.0	0.9	0.0	0.0	0.0	1.9	0.9	1.9	1.8	3.4	4.3	5.2	6.8	5.1	5.0	5.1	5.9	7.6	10.0
"Sexe - Total"	"……Herrliberg"	0.0	0.0	0.0	0.0	0.0	0.0	2.8	1.9	0.9	0.9	1.7	2.6	1.7	1.7	4.2	4.2	4.2	5.1	5.0
"Sexe - Total"	"……Hombrechtikon"	1.9	0.9	0.9	0.9	0.9	0.0	0.9	0.9	0.9	3.4	5.1	5.2	3.4	3.4	3.4	5.9	5.1	5.1	6.6
"Sexe - Total"	"……Küsnacht (ZH)"	4.7	4.7	3.8	1.9	0.9	5.7	5.7	4.7	3.6	3.4	4.3	6.9	7.7	11.9	13.4	17.0	24.6	18.6	18.3
"Sexe - Total"	"……Männedorf"	0.9	0.9	0.9	0.9	0.9	3.8	1.9	2.8	1.8	3.4	3.4	3.4	7.7	6.0	7.5	7.6	12.7	11.0	14.1
"Sexe - Total"	"……Meilen"	1.9	1.9	2.8	4.7	4.7	3.8	6.6	8.5	7.2	9.4	6.9	6.9	9.4	10.2	5.0	5.1	6.8	9.3	18.3
"Sexe - Total"	"……Oetwil am See"	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.9	1.7	2.6	2.6	1.7	1.7	1.7	3.4	3.4	5.0
"Sexe - Total"	"……Stäfa"	0.9	0.9	0.9	2.8	3.8	0.9	1.9	3.8	4.5	3.4	3.4	6.0	6.0	6.8	7.5	13.6	14.4	15.2	16.6
"Sexe - Total"	"……Uetikon am See"	0.9	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.9	2.6	1.7	0.9	1.7	3.4	3.4	3.4	3.3
"Sexe - Total"	"……Zumikon"	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	1.7	1.7	1.7	0.9	0.0	0.8	1.7	0.0	0.0	0.0
"Sexe - Total"	"……Zollikon"	1.9	0.0	3.8	2.8	3.8	8.5	6.6	2.8	4.5	5.1	8.6	8.6	9.4	11.9	13.4	15.3	17.0	21.2	17.4
"Sexe - Total"	"……Fehraltorf"	0.0	0.9	0.9	2.8	5.7	3.8	5.7	6.6	10.8	11.1	13.7	19.8	14.5	16.2	17.6	22.1	28.0	32.2	34.1
"Sexe - Total"	"……Hittnau"	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.8	0.8	0.8	0.8	0.8
"Sexe - Total"	"……Illnau-Effretikon"	5.7	5.7	6.6	10.4	6.6	11.3	12.3	9.4	9.9	11.1	12.9	17.2	11.1	10.2	16.8	36.5	31.4	33.9	44.9
"Sexe - Total"	"……Kyburg"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Lindau"	11.4	12.3	13.2	19.8	14.2	15.1	14.1	22.6	22.6	22.1	20.6	23.2	18.8	19.6	25.2	20.4	22.9	27.9	30.7
"Sexe - Total"	"……Pfäffikon"	5.7	7.6	7.6	6.6	4.7	6.6	9.4	9.4	8.1	6.0	6.9	5.2	6.0	6.8	8.4	11.0	12.7	14.4	17.4
"Sexe - Total"	"……Russikon"	0.9	0.9	0.9	0.0	0.9	2.8	2.8	0.9	0.9	1.7	1.7	1.7	1.7	3.4	1.7	2.5	3.4	5.1	9.1
"Sexe - Total"	"……Weisslingen"	0.0	0.0	0.9	1.9	1.9	1.9	0.0	0.0	0.0	0.0	0.9	0.9	2.6	3.4	5.0	4.2	4.2	5.1	4.2
"Sexe - Total"	"……Wila"	0.0	0.9	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.8	0.8	0.8	0.8	0.8
"Sexe - Total"	"……Wildberg"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	1.7	1.7
"Sexe - Total"	"……Dübendorf"	36.0	36.9	51.1	47.2	55.7	62.3	61.3	53.7	54.2	64.6	67.7	90.3	106.8	125.5	145.9	155.2	171.7	188.8	195.2
"Sexe - Total"	"……Egg"	0.0	0.0	0.0	0.0	0.0	0.9	0.9	1.9	1.8	1.7	1.7	2.6	5.1	5.1	6.7	10.2	12.7	16.1	19.1
"Sexe - Total"	"……Fällanden"	1.9	1.9	1.9	2.8	2.8	7.5	4.7	4.7	3.6	3.4	4.3	6.9	5.1	7.7	11.7	14.4	17.8	18.6	16.6
"Sexe - Total"	"……Greifensee"	0.0	0.9	0.9	1.9	2.8	1.9	1.9	1.9	1.8	2.6	2.6	2.6	2.6	4.3	5.9	8.5	10.2	7.6	7.5
"Sexe - Total"	"……Maur"	3.8	2.8	1.9	1.9	1.9	3.8	3.8	4.7	5.4	5.1	4.3	4.3	3.4	3.4	2.5	2.5	2.5	5.9	5.8
"Sexe - Total"	"……Mönchaltorf"	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.0	0.0	0.0	0.9	0.9	1.7	7.5	34.8	39.1	22.9	19.1
"Sexe - Total"	"……Schwerzenbach"	16.1	11.4	13.2	14.2	20.8	18.9	16.0	18.8	17.2	14.5	14.6	12.0	18.8	17.9	23.5	24.6	28.9	32.2	38.2
"Sexe - Total"	"……Uster"	2.8	2.8	6.6	8.5	8.5	13.2	18.9	15.1	14.5	14.5	18.9	18.1	15.4	23.9	33.5	39.9	44.2	55.9	57.3
"Sexe - Total"	"……Volketswil"	15.2	16.1	15.1	18.0	15.1	22.6	26.4	23.6	19.0	23.8	36.9	40.4	37.6	37.6	44.4	50.9	53.5	62.6	63.1
"Sexe - Total"	"……Wangen-Brüttisellen"	5.7	4.7	6.6	6.6	13.2	23.6	23.6	23.6	24.4	24.7	23.2	23.2	26.5	24.8	30.2	42.4	46.7	58.4	59.0
"Sexe - Total"	"……Altikon"	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Brütten"	0.0	0.0	0.0	0.9	0.9	1.9	1.9	0.9	0.9	1.7	0.9	0.9	0.0	0.0	0.0	0.8	1.7	1.7	2.5
"Sexe - Total"	"……Dägerlen"	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.0	0.9	0.9	0.9	3.4	1.7	6.0	5.9	4.2	3.4	4.2	4.2
"Sexe - Total"	"……Dättlikon"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Dinhard"	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.8	1.7	0.0	0.0	0.0
"Sexe - Total"	"……Elgg"	2.8	2.8	2.8	5.7	8.5	11.3	13.2	10.4	10.8	10.2	13.7	12.9	11.1	11.1	12.6	12.7	16.1	21.2	19.9
