"Sexe"	"Commune de travail"	"1996 T4"	"1997 T4"	"1998 T4"	"1999 T4"	"2000 T4"	"2001 T4"	"2002 T4"	"2003 T4"	"2004 T4"	"2005 T4"	"2006 T4"	"2007 T4"	"2008 T4"	"2009 T4"	"2010 T4"	"2011 T4"	"2012 T4"	"2013 T4"	"2014 T4"
"Sexe - Total"	"……Raron"	28.4	26.5	26.5	25.5	26.4	27.4	34.9	32.0	31.6	26.4	14.6	10.3	8.5	10.2	9.2	11.0	14.4	18.6	27.4
"Sexe - Total"	"……Unterbäch"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Wiler (Lötschen)"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8
"Sexe - Total"	"……Mörel-Filet"	9.5	7.6	5.7	5.7	6.6	10.4	11.3	8.5	7.2	7.7	7.7	6.9	5.1	4.3	5.0	6.8	7.6	7.6	8.3
"Sexe - Total"	"……Steg-Hohtenn"	34.1	35.0	35.0	31.2	34.0	34.9	33.0	32.0	18.1	17.0	14.6	14.6	7.7	9.4	9.2	10.2	11.0	16.9	16.6
"Sexe - Total"	"……Bettmeralp"	8.5	6.6	5.7	0.9	3.8	4.7	5.7	5.7	4.5	5.1	3.4	5.2	4.3	1.7	2.5	6.8	5.1	6.8	8.3
"Sexe - Total"	"……Collonges"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Dorénaz"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	1.7	1.7	1.7	1.7	0.0
"Sexe - Total"	"……Evionnaz"	0.9	0.9	0.9	0.9	0.9	2.8	3.8	3.8	3.6	4.3	4.3	6.0	7.7	7.7	10.9	16.1	19.5	22.9	23.3
"Sexe - Total"	"……Finhaut"	2.8	2.8	1.9	1.9	1.9	3.8	1.9	1.9	2.7	2.6	1.7	0.9	1.7	4.3	6.7	14.4	17.0	16.9	17.4
"Sexe - Total"	"……Massongex"	2.8	2.8	1.9	2.8	4.7	2.8	1.9	0.9	0.9	1.7	1.7	1.7	3.4	3.4	4.2	8.5	12.7	13.5	12.5
"Sexe - Total"	"……Saint-Maurice"	7.6	5.7	5.7	5.7	7.6	12.3	16.0	16.0	14.5	15.3	14.6	17.2	20.5	23.9	31.0	38.2	38.2	45.7	41.5
